"Entity","emigrants_2024","pct_change_1990_2024","population_2024","pct_emig_2024","pct_fb_2024"
"Africa",45750673,132.498095576401,1291044964,3.5,1.9
"Asia",120717155,122.913324596077,4042291127,3,1.9
"Europe",61061575,24.8615766404044,928263208,6.6,18.4
"North America",31580108,139.354632993218,381464223,8.3,10.8
"Oceania",1602503,95.4841716061145,4.6e+07,3.5,21.5
"South America",21243834,418.785333430364,662186388,3.2,2.9
"World",281955848,100.189998698064,7305249910,3.9,3.7
